STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN;RS_01;RTH_01;RWH_01;RS_IND_01;eor
       3625;201103010000;201103012359;    3;  0.00;  -999;  -999;-999;eor
       3625;201103020000;201103022359;    3;  0.00;  -999;  -999;-999;eor
       3625;201103030000;201103032359;    3;  0.00;  -999;  -999;-999;eor
       3625;201103040000;201103042359;    3;  0.00;  -999;  -999;-999;eor
       3625;201103050000;201103052359;    3;  0.00;  -999;  -999;-999;eor
       3625;201103060000;201103062359;    3;  0.00;  -999;  -999;-999;eor
       3625;201103070000;201103072359;    3;  0.00;  -999;  -999;-999;eor
       3625;201103080000;201103082359;    3;  0.00;  -999;  -999;-999;eor
       3625;201103090000;201103092359;    3;  0.00;  -999;  -999;-999;eor
       3625;201103100000;201103102359;    3;  0.00;  -999;  -999;-999;eor
       3625;201103110000;201103110059;    3;  0.00;  -999;  -999;-999;eor
       3625;201103110100;201103110159;    3;  0.00;  -999;  -999;-999;eor
       3625;201103110200;201103110259;    3;  0.00;  -999;  -999;-999;eor
       3625;201103110300;201103110359;    3;  0.00;  -999;  -999;-999;eor
       3625;201103110400;201103110400;    3;  0.00;  -999;  -999;-999;eor
       3625;201103110401;201103110401;    3;  0.00;  -999;  -999;-999;eor
       3625;201103110402;201103110402;    3;  0.00;  -999;  -999;-999;eor
       3625;201103110403;201103110403;    3;  0.04;  -999;  -999;-999;eor
       3625;201103110404;201103110404;    3;  0.01;  -999;  -999;-999;eor
       3625;201103110405;201103110405;    3;  0.00;  -999;  -999;-999;eor
       3625;201103110406;201103110406;    3;  0.00;  -999;  -999;-999;eor
       3625;201103110407;201103110407;    3;  0.00;  -999;  -999;-999;eor
       3625;201103110408;201103110408;    3;  0.00;  -999;  -999;-999;eor
       3625;201103110409;201103110409;    3;  0.00;  -999;  -999;-999;eor
       3625;201103110410;201103110410;    3;  0.00;  -999;  -999;-999;eor
       3625;201103110411;201103110411;    3;  0.00;  -999;  -999;-999;eor
       3625;201103110412;201103110412;    3;  0.00;  -999;  -999;-999;eor
       3625;201103110413;201103110413;    3;  0.00;  -999;  -999;-999;eor
       3625;201103110414;201103110414;    3;  0.00;  -999;  -999;-999;eor
       3625;201103110415;201103110415;    3;  0.00;  -999;  -999;-999;eor
       3625;201103110416;201103110416;    3;  0.00;  -999;  -999;-999;eor
       3625;201103110417;201103110417;    3;  0.00;  -999;  -999;-999;eor
       3625;201103110418;201103110418;    3;  0.03;  -999;  -999;-999;eor
       3625;201103110419;201103110419;    3;  0.00;  -999;  -999;-999;eor
       3625;201103110420;201103110420;    3;  0.00;  -999;  -999;-999;eor
       3625;201103110421;201103110421;    3;  0.00;  -999;  -999;-999;eor
       3625;201103110422;201103110422;    3;  0.00;  -999;  -999;-999;eor
       3625;201103110423;201103110423;    3;  0.00;  -999;  -999;-999;eor
